,Device_ID,Event_ID,Event_start_time,Tags,Free_text,Name_of_cat,Weight_of_cat,Tare_weight,min_sum,max_sum,mean_sum,std_sum,duration_of_event,max_10_dev,max_10_dur,Total_Tare_weight,hour_day
10,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1MjM3Nzg4My1kZjc4LTRhNTYtOThmNi0wYjY4MzA4MWJkNTg=,2021-10-05 08:34:48,"['defecation', 'cat in box']","8:34:49	8:37:05	Confirmed activity, cat in the box, defecation",Negan,4638,"[-582, 936, 2354, 4862]",7590.0,17040.0,10223.56457641196,2297.9901985282313,240.77494299999927,7600.0,54.475,7570,8.6
11,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1MmViZmU4NS00YThjLTRjZDQtYmM3MS0xNjM4N2ZmZDhkYzQ=,2021-01-15 08:55:27,"['urination', 'cat in box']","8:55:33	8:56:34	Confirmed activity, cat in the box, urination",Negan,5468,"[2239, -55, 3403, 3216]",8797.0,14933.0,11489.874177631578,2704.7308935375027,121.57493400000271,8800.0,21.65,8803,8.9
12,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1NDVmYTUwYi1jYjk2LTQzYjctOGY1OS02ODE3MjI5M2Y1NTU=,2021-09-13 15:15:31,"['non_elimination', 'cat in box']","15:15:32	15:15:43	Confirmed activity, cat in the box, non-elimination",,4934,"[-609, -708, 528, 3106]",2320.0,11875.0,2840.0390625,1484.460490089685,95.97493100000293,2320.0,71.225,2317,15.2
13,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1NmE0YWU0MC0wNmYwLTRiNmEtYmQ4ZC0xOWUzZWI2YTE1ZDc=,2020-12-01 13:03:47,"['cat in box', 'defecation']",,Negan,5513,"[2100, -364, 2283, 3157]",7092.0,13845.0,10554.700272817461,2596.2506337816617,201.5749360000027,7190.0,42.3,7176,13.1
14,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1NTMxMjJjNy04ZjY2LTQ3ZDgtYjE5MS0zNTI3MWJlY2VjOGM=,2020-12-25 14:11:32,"['urination', 'cat in box']","14:11:46	14:13:08	Confirmed activity, cat in the box, urination",Negan,5568,"[1147, -1530, 3811, 3671]",7136.0,13635.0,10310.845844972067,2742.27138659875,143.17494000000306,7140.0,30.125,7099,14.2
15,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1NzU1OTdiOC04ZGVkLTQ0ZTUtYmE3ZC01YTgxNzhlYmI0ZDU=,2020-12-17 06:42:04,"['urination', 'cat in box']","6:42:05	6:44:05	Confirmed activity, cat in the box, urination",Negan,5475,"[2875, -1369, 2238, 3375]",7100.0,13787.0,10648.40580778302,2638.896928218505,169.57495599998902,7130.0,38.925,7119,6.7
16,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1ODYxY2FlNC0yMjFhLTQzZTktYTRhNy0yZDY5YzZlOTRlOGU=,2021-01-03 10:46:25,"['urination', 'cat in box']","10:46:58	10:47:55	Confirmed activity, cat in the box, urination",Negan,5519,"[2332, 354, 2972, 4197]",9860.0,16334.0,12482.297193877552,2726.817203118383,117.57493200000272,9880.0,21.875,9855,10.8
17,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1OGJhYTVhNS1iNzkxLTRmODUtODRlOC1kZGJjNzllYTAzMzE=,2021-10-14 14:14:01,"['non_elimination', 'cat in box']","14:14:01	14:14:48	Confirmed activity, cat in the box, non-elimination",Negan,4748,"[973, 1356, 557, 4663]",6816.0,23728.0,9205.96482035928,2252.1280123920797,133.57494500000303,7540.0,46.975,7549,14.2
18,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1OTk2NmRlNy1hYmUxLTRkYzgtYjU1ZC1hYWZiZjhiZWNkNGY=,2020-12-24 18:17:03,"['non_elimination', 'cat in box']","18:17:15	18:20:09	Confirmed activity, cat in the box, non-elimination	attempted elimination",Negan,5554,"[1499, -1422, 2854, 4325]",7288.0,15428.0,11409.877338435374,2434.0536237109945,235.17493200000263,7290.0,30.55,7256,18.3
19,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1YmM2ZTQ1MC1iMTAwLTRkMjYtOGQyNi04NGM2MDNmOTJlNmM=,2021-10-05 13:07:49,"['cat in box', 'urination']","13:07:50	13:08:54	Confirmed activity, cat in the box, urination",Negan,4687,"[1219, 620, 416, 5361]",7612.0,17404.0,9989.201121794871,2321.0917482170757,124.77494400000272,7620.0,35.85,7616,13.1
20,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1YWY0MzE4OC0yODM5LTRkZjUtYmZiYy00YWJlZDBkZjQ4Zjk=,2020-12-13 09:36:22,"['urination', 'cat in box']","9:36:21	9:37:08	Confirmed activity, cat in the box, urination",Negan,5484,"[2662, -1797, 3638, 2976]",7347.0,14058.0,9714.55029296875,2687.4627502720496,102.37493199999926,7490.0,47.75,7479,9.6
21,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1ZGVkMjAyZS0wNDJiLTQ2YTgtOTIyNS1iNTg0M2E4ZGRiNzE=,2020-12-24 16:10:35,"['urination', 'cat in box']","16:10:16	16:11:41	Confirmed activity, cat in the box, urination",Negan,5584,"[1331, -1679, 3049, 4543]",7257.0,13657.0,9886.10992132867,2779.8024869769365,114.37497599999926,7270.0,28.125,7244,16.2
22,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1ZTcxOGFhNC0wMDc1LTQ2ZjEtYmY2NC1kZmE5NjQxODc2NDA=,2020-12-10 15:10:02,"['cat in box', 'urination']",,Negan,5540,"[1382, -37, 2533, 3674]",7561.0,13966.0,10243.387936827958,2762.6834488513564,148.77495000000272,7560.0,44.6,7552,15.2
23,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1ZTNiYWJmNC1jNWJjLTQwNzQtYmFjYy1iNzNmYmFiY2E0MTI=,2021-01-04 14:50:27,"['cat in box', 'urination']","14:50:13	14:51:44	Confirmed activity, cat in the box, urination",Negan,5503,"[2129, 324, 2333, 4932]",9725.0,16128.0,12879.78354519774,2710.740788459679,141.57494100000258,9730.0,18.15,9718,14.8
24,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2MGRkYjY2Ni02MjI1LTRhM2MtOWM0MS1mYjQ5ODkyNTYyMzk=,2020-11-29 10:22:40,"['cat in box', 'defecation']",,Negan,5481,"[1859, -156, 2045, 3633]",7389.0,13993.0,11082.662042025862,2571.1414186453694,185.57493100000283,7410.0,32.6,7381,10.4
25,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2MzhjMjVjMC05OWFjLTQwZmQtYjIwZS0yMjYxYmNmY2QzYzc=,2020-12-12 15:02:04,"['cat in box', 'non_elimination']","15:02:06	15:02:17	Confirmed activity, cat in the box, non-elimination",Negan,5713,"[2042, -140, 2318, 3046]",7248.0,13331.0,8078.957638888889,1929.089942574263,71.97493100000293,7250.0,46.225,7266,15.0
26,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2NDI4ZjkxZS1lOTliLTQ2MTctOTg5OS01YzAzMmY3ZmY3YjE=,2021-01-13 09:03:20,"['urination', 'cat in box']","9:03:46	9:04:59	Confirmed activity, cat in the box, urination",Negan,5512,"[1786, -815, 2760, 3575]",7297.0,13826.0,9873.145567602041,2723.7458031437163,156.77493600000275,7330.0,40.475,7306,9.1
27,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2NGM1OTkzMi0wYWNlLTQwYTgtYjlhNy0xYTU2OTQ1MTMxMWU=,2020-12-18 17:16:40,"['cat in box', 'non_elimination']","17:16:44	17:17:32	Confirmed activity, cat in the box, non-elimination, jumped into box",Negan,5560,"[1637, -1480, 2985, 3874]",6985.0,21871.0,9211.766622340425,2716.0077720742784,112.77494299999933,7000.0,44.35,7016,17.3
28,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2NWM1YjFjMy1kYWM1LTRkYmMtYjBhNS04OWZmNTZmYmUxYmI=,2021-01-13 13:29:37,"['non_elimination', 'cat in box']","13:29:39	13:30:59	Confirmed activity, cat in the box, non-elimination",Negan,5514,"[1154, -933, 3166, 3960]",7225.0,14052.0,10426.05364884393,2730.1300567961666,138.37493100000302,7330.0,35.3,7347,13.5
29,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2ODNjNThlOC1iYzA4LTQwZDItOGQwYy00YTI1Y2ExNWQ2M2Q=,2020-12-24 23:02:06,"['urination', 'cat in box']","23:02:06	23:03:32	Confirmed activity, cat in the box, urination",Negan,5525,"[1762, -1572, 2246, 4864]",7308.0,13747.0,10282.697604790419,2727.491558489924,133.57493200000297,7310.0,33.175,7300,23.0
30,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2ODQ2ZThkYi0zZDc1LTQ1OGMtYmUxMi0zZTJjZTdmMDljNGQ=,2020-12-01 15:18:35,"['cat in box', 'non_elimination']",,Negan,5511,"[1924, 33, 2182, 3053]",7161.0,17896.0,8455.367424242424,2324.9322136390465,79.17493300000251,7180.0,40.725,7192,15.3
31,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2ODRhNTg4ZS0xOWM0LTRjYzUtYjFkZi03MGMyNDVhZmEzOWE=,2021-10-15 14:53:36,"['cat in box', 'non_elimination']","14:53:37	14:53:44	Confirmed activity, cat in the box, non-elimination",Negan,4837,"[404, 2037, 693, 4781]",7910.0,13359.0,8329.08546686747,1301.2812781334428,66.3749420000031,7910.0,50.95,7915,14.9
32,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2YjI5MjdiZi1hNGIyLTQzMDktYTY4YS0yMjY4MmY4MWIzZjA=,2021-01-14 10:35:12,"['urination', 'cat in box']","10:35:13	10:37:03	Confirmed activity, cat in the box, urination",Negan,5513,"[1880, -316, 2799, 2744]",7114.0,13457.0,10606.14937200957,2648.5943657378007,167.17493200000308,7120.0,43.35,7107,10.6
33,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2YjIwMDM0Ni1iMTE4LTQyM2ItODJjYy0xNTRkOThlZWM1NmM=,2020-12-08 11:47:02,"['cat in box', 'urination']",,Negan,5516,"[1431, -362, 2503, 3374]",6947.0,13495.0,10374.311417079209,2667.5926781068324,161.57493900000304,6950.0,52.4,6946,11.8
34,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2YmIxOGI4Ni1mYWQ5LTRjYTYtOTEwZi01ZTY3YTQ5NzQzNDc=,2021-09-12 11:00:05,"['non_elimination', 'cat in box']","11:00:05	11:00:51	Confirmed activity, cat in the box, non-elimination",,4760,"[-226, -591, 405, 3287]",2824.0,8078.0,4839.900375939849,2316.636597064291,106.37494400000288,2850.0,44.8,2875,11.0
35,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2ZGU4MDZiYS05M2Q2LTQxMDEtYTFiNi1jNzBhYTQ2YTAxOGM=,2021-10-15 14:47:36,"['non_elimination', 'cat in box']","14:47:37	14:47:42	Confirmed activity, cat in the box, non-elimination",Negan,4888,"[413, 2030, 698, 4772]",7912.0,13483.0,8216.566358024691,1121.723822721169,64.7749440000025,7910.0,41.9,7913,14.8
36,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo2ZjMxN2E4MC1hZDM2LTRhNjQtODcwZC00ZDNjNDBmMDAzOGE=,2020-12-23 14:42:01,"['cat in box', 'defecation']","14:42:10	14:46:20	Confirmed activity, cat in the box, defecation",Negan,5488,"[2051, -979, 3017, 3269]",7389.0,14079.0,11793.75353470437,2185.502950234676,311.17495500000314,7400.0,30.025,7358,14.7
37,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3NDk3YTY5MC1jMjZjLTQwMzUtODc5Yy01ZDM4YzE2ZWJhNWU=,2021-01-15 15:11:13,"['cat in box', 'urination']","15:11:19	15:12:01	Confirmed activity, cat in the box, urination",Negan,5506,"[2436, -121, 3251, 3213]",8782.0,15190.0,11000.272637795275,2691.626366740683,101.57493700000282,8790.0,23.225,8779,15.2
38,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3NmYzOTU0ZS04ZmVlLTRiNjktYTRhNS1jODViMmRiZThmYjk=,2020-11-29 15:11:15,"['cat in box', 'non_elimination']",,Negan,5577,"[2260, -306, 1687, 3765]",7389.0,13426.0,8153.730823863636,1875.1565050102479,70.37500900000305,7390.0,45.85,7406,15.2
39,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3OTc2ZTY1NC1jMTFjLTRjNjMtOTZkOS0wNmY4N2EwYmViOTI=,2021-10-15 14:33:42,"['non_elimination', 'cat in box']","14:33:42	14:33:48	Confirmed activity, cat in the box, non-elimination",Negan,4886,"[395, 2063, 672, 4798]",7779.0,13142.0,8195.5775,1095.462615336789,79.97494500000266,7910.0,55.3,7928,14.6
40,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3OTk3MmRmZS0zNWE5LTQ2ZDUtYWQ2OC00NzhiZDNjMGZiODM=,2021-01-08 22:12:04,"['urination', 'cat in box']","22:13:03	22:14:42	Confirmed activity, cat in the box, urination",Negan,5544,"[778, 677, 2268, 3486]",7196.0,13661.0,9699.364386792453,2739.189536764694,211.97495300000264,7200.0,41.675,7209,22.2
41,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3Y2FkYWJlMi00NmRjLTRjYWItOTAxNS1hNWU0ODU2NzYwZDg=,2021-10-13 09:46:33,"['defecation', 'cat in box']","9:46:34	9:49:02	Confirmed activity, cat in the box, defecation",Negan,4581,"[-175, 1342, 1682, 4821]",7680.0,16898.0,10962.327767175573,2089.9377359967043,209.5749440000029,7690.0,30.675,7670,9.8
42,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3ZDJlMmMzYy1hODVjLTQ4ZGYtODFmZC0wYTVlOWZjZWVkMTk=,2020-12-26 08:33:16,"['defecation', 'cat in box']","8:34:13	8:36:23	Confirmed activity, cat in the box, defecation",Negan,5495,"[919, -690, 2929, 3784]",6940.0,13566.0,10059.167310996563,2717.424137172514,232.77493800000275,6970.0,29.675,6942,8.6
43,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo3Zjg1NDZiZS03NTA0LTRmNGQtOTgzYi00MGYyYzhhNDYwZWM=,2021-01-04 10:49:47,"['cat in box', 'defecation']","10:49:43	10:51:32	Confirmed activity, cat in the box, defecation",Negan,5540,"[1682, 225, 3319, 4466]",9701.0,16581.0,13220.75146713615,2631.5018250364615,170.37493200000267,9720.0,18.5,9692,10.8
44,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4MDZhYzM3NS04Yjc4LTQ3NzQtYjEwOC03NzEwMzAyOWM2ZDA=,2020-12-18 15:09:45,"['cat in box', 'non_elimination']","15:09:41	15:11:06	Confirmed activity, cat in the box, non-elimination",Negan,5542,"[1596, -1571, 3071, 3924]",7000.0,13936.0,10181.837956460675,2734.705793480849,142.37493999999936,7000.0,32.675,7020,15.1
45,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4MjFlNzljNy1jYjFkLTRjYjktYmM0OC00ZTVjZjY4YzEzODc=,2021-01-08 15:17:58,"['urination', 'cat in box']","15:18:00	15:18:49	Confirmed activity, cat in the box, urination",Negan,5523,"[595, 733, 2419, 3449]",7200.0,13365.0,9570.805686090225,2719.910140489768,106.37493099999926,7200.0,46.8,7196,15.3
46,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4MmI5ZGJjMy0yNzMxLTRhZDgtYjViZC1hNDIzNzk3NjY5YTQ=,2021-01-02 11:17:26,"['cat in box', 'urination']","11:17:56	11:19:32	Confirmed activity, cat in the box, urination",Negan,5494,"[1756, 529, 2813, 4816]",9921.0,16970.0,13257.48125,2681.1429035175593,155.97499599999935,9950.0,15.25,9914,11.3
47,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4MzA5YTkwMS05NDQ0LTQzMjYtYjJmNS04MTU5ZDA2ZDAzM2Q=,2021-10-03 14:17:17,"['cat in box', 'urination']","14:17:18	14:18:46	Confirmed activity, cat in the box, urination",Negan,4675,"[153, 1155, 1339, 5920]",8586.0,17498.0,11347.555107526881,2299.185986815807,148.77494699999932,8590.0,50.225,8567,14.3
48,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4N2YzYjMyYS1mNjcxLTQ1M2QtOGRkMi1iYmUxOWQyYzYwYjA=,2020-12-02 15:11:25,"['cat in box', 'non_elimination']",,Negan,5562,"[170, -144, 3178, 3960]",7249.0,18827.0,7605.442515432099,1305.1604188027093,64.77494900000018,7270.0,28.95,7164,15.2
49,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4NDk0ZGE3NS1mYjE0LTRhN2MtYjBkYy04Y2Y5NGI3ODhhM2M=,2020-12-20 09:38:43,"['urination', 'cat in box']","9:38:06	9:39:00	Confirmed activity, cat in the box, urination",Negan,5843,"[1763, -160, 4010, 2486]",8116.0,14543.0,9153.605174731183,2137.0589905528122,74.37494100000018,8120.0,47.425,8099,9.6
50,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4NDk1OTk2NS03MTliLTRhMzUtYTY1My1kNWNkY2YxMzM3NGM=,2020-12-24 03:46:33,"['cat in box', 'non_elimination']","3:47:23	3:47:47	Confirmed activity, cat in the box, non-elimination",Negan,4354,"[1428, -1054, 3034, 3995]",7393.0,12383.0,8006.649553571428,1271.1289243797187,123.17495600000302,7400.0,59.3,7403,3.8
51,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4NGRjNGQwYi1jNTE5LTQxM2EtODA2YS05YWQ2MDBiZGRhOGM=,2020-12-09 02:09:21,"['cat in box', 'non_elimination']",,Negan,5511,"[1613, -177, 2261, 3239]",6922.0,13016.0,9276.252565298508,2710.5551445020383,107.17493100000274,6920.0,49.075,6936,2.1
52,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4NmRlNTAxYy1kY2RiLTQ0ZDYtYTY2Ni1hYzlhNWY3YzA1MTU=,2020-12-02 04:48:02,"['cat in box', 'non_elimination']",,Negan,5498,"[2162, -314, 2030, 3339]",7198.0,13093.0,10022.715587797618,2641.164178552985,134.37494900000274,7200.0,35.875,7217,4.8
53,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4NTA2ZjA0My1mOTQ0LTQ0MDQtODVjZC02YTdmNTkzMzdhZTA=,2021-01-10 13:35:45,"['urination', 'cat in box']","13:35:54	13:36:59	Confirmed activity, cat in the box, urination",Negan,5527,"[1572, -217, 1415, 4752]",7522.0,13959.0,10338.85071656051,2741.2056380354725,125.5749470000028,7520.0,46.875,7522,13.6
54,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4YjA4YTlmOS1mMGViLTQ3MTctODExOC0xZmM3NDIxNmM3ZmY=,2020-12-02 16:28:24,"['cat in box', 'non_elimination']",,Negan,5414,"[223, -60, 3127, 3965]",7164.0,12725.0,7508.915895061728,1248.907949008455,64.77493799999922,7170.0,45.725,7255,16.5
55,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4YmVmMDBjMy0zZjI2LTQ3OGEtOTY2MC00NzYzMWI0Nzk4NmI=,2020-12-22 15:09:08,"['urination', 'cat in box']","15:09:15	15:10:34	Confirmed activity, cat in the box, urination",Negan,5533,"[2923, -244, 2928, 2551]",8151.0,14474.0,11243.880057803468,2732.9812489993105,138.37494300000253,8150.0,32.075,8158,15.1
56,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4YTZiYzAzOC05ZGU5LTRiNzAtYWIyYi1kNjg4YWZlNjVjOGM=,2020-12-04 09:11:29,"['cat in box', 'defecation']",,Negan,5734,"[349, -493, 2688, 4546]",7398.0,13818.0,10802.886824324325,2481.462073703852,177.57493900000304,7400.0,44.25,7090,9.2
57,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo4ZWIxMmY0Ni1hNTFlLTQ5MjAtYTJjYi1hMGQyMDk2MTk3M2M=,2021-09-14 11:01:23,"['cat in box', 'non_elimination']","11:01:25	11:01:52	Confirmed activity, cat in the box, non-elimination",,4772,"[-604, -817, 465, 3256]",2245.0,8855.0,3516.419849537037,2020.007017926951,86.3749290000028,2290.0,48.7,2300,11.0
58,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5M2I3MTE5ZC01NTk1LTQ4Y2QtYTg4NS1jOTYyMTE4MTNhODg=,2021-09-13 15:45:28,"['non_elimination', 'cat in box']","15:45:29	15:45:31	Confirmed activity, cat in the box, non-elimination",,6285,"[-609, -707, 531, 3103]",2313.0,12611.0,2478.158653846154,904.5254744544945,62.3749290000028,2310.0,38.55,2318,15.8
59,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5MDA4ZmM1OS00ZGJiLTQyYTMtOGI3Ny03YTM1NjZkYTZiZWQ=,2020-12-03 01:37:29,"['cat in box', 'non_elimination']",out then on edge ,Negan,5724,"[325, 0, 2988, 3898]",7059.0,13590.0,8918.402324120603,2378.233333084506,159.17493100000297,7080.0,58.7,7211,1.6
60,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5MWE3ODA5Ny1lODAyLTRhNTYtOWM4Yi01YmRkMzQ0ZjExZTA=,2021-09-12 23:56:33,"['cat in box', 'non_elimination']","23:56:34	23:57:00	Confirmed activity, cat in the box, non-elimination",,4924,"[-258, -592, 405, 3314]",2562.0,14008.0,4095.0217013888887,2009.6340549562892,86.37494900000274,2830.0,41.35,2869,23.9
61,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5NTFmNjE4MS1jYTBhLTQyOTEtOWM1Ny0yZTgzMjkxMzIyOTI=,2020-12-22 08:28:11,"['urination', 'cat in box']","8:28:19	8:29:50	Confirmed activity, cat in the box, urination",Negan,5515,"[2648, 257, 2909, 2340]",8166.0,14784.0,11443.480039267015,2681.946952799041,152.77493500000264,8170.0,49.225,8154,8.5
62,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5NWI5MDM2NS1lODNmLTQ3ODQtODRiOS1mNDY3MDljMjk4MTY=,2020-12-07 14:17:32,"['cat in box', 'non_elimination']",,Negan,5519,"[1715, -903, 2487, 3668]",6954.0,12936.0,8543.802951388889,2472.5233966493133,86.374939000003,6950.0,30.95,6967,14.3
63,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5Nzc3Nzg3ZS1jMGZlLTRjYWEtYjFlNy1lMDMzODgxNTQ0ZGI=,2021-01-06 15:52:31,"['cat in box', 'defecation']","15:52:27	15:54:54	Confirmed activity, cat in the box, defecation",Negan,5534,"[2061, 496, 1184, 3530]",7292.0,14050.0,11161.446078431372,2532.054424244967,203.9749759999993,7290.0,48.9,7271,15.9
64,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5OTM3YWY5ZS04YTRmLTQ4MmYtYjJjYi1hZjliYzc0NDM2YTU=,2020-12-18 00:36:37,"['urination', 'cat in box']","0:36:38	0:38:12	Confirmed activity, cat in the box, urination",Negan,5521,"[1846, -810, 2560, 3557]",7159.0,13420.0,10300.516157670454,2721.3377893919333,140.77494999998908,7160.0,37.85,7153,0.6
65,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo5OTNhYTlkNS1jNWIwLTRjYmQtODUwNy05Y2RhZDk5MTk1YTE=,2021-10-14 09:26:54,"['defecation', 'cat in box']","9:26:54	9:28:50	Confirmed activity, cat in the box, defecation",Negan,4596,"[-393, 1391, 1851, 4683]",7542.0,16990.0,10474.511363636364,2215.4270140752164,184.77494600000276,7570.0,40.225,7532,9.4
